# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        281       1  -0.00895721    -0.431057   -0.0283342     0.476548       0.4726     0.479941
        282       1   -0.0193441    -0.441444   -0.0283342     0.476936       0.4726     0.479941
        283       1    -0.040118    -0.451831   -0.0283342     0.477142       0.4726     0.484835
        284       1   -0.0505049    -0.462218   -0.0283342     0.477029       0.4726     0.487282
        285       1   -0.0505049    -0.472605   -0.0283342     0.476171       0.4726     0.487282
        286       1   -0.0505049    -0.482992   -0.0283342     0.474764       0.4726     0.487282
        287       1   -0.0505049    -0.493379   -0.0283342     0.473425     0.470153     0.487282
        288       1    -0.040118    -0.503766   -0.0283342     0.472087     0.467706     0.484835
        289       1  -0.00895721    -0.514153   -0.0283342     0.470776     0.467706     0.477494
        290       1   0.00142971    -0.524539   -0.0283342     0.469729     0.465259     0.475047
        291       1   0.00142971    -0.534926   -0.0283342     0.468649     0.465259     0.475047
        292       1   0.00142971    -0.545313   -0.0283342     0.467585     0.462813       0.4726
        293       1   0.00142971      -0.5557   -0.0283342     0.466538     0.462813       0.4726
        294       1   0.00142971    -0.566087   -0.0283342     0.465607     0.460366     0.470153
        295       1  -0.00895721    -0.576474   -0.0283342     0.464637     0.460366     0.470153
        296       1   -0.0193441    -0.586861   -0.0283342     0.463905     0.457919     0.467706
        297       1   -0.0245376    -0.597248   -0.0283342     0.463206     0.457919     0.467706
        298       1   -0.0245376    -0.607635   -0.0283342     0.462695     0.457919     0.465259
        299       1   -0.0193441    -0.618022   -0.0283342     0.462335     0.457919     0.465259
        300       1   -0.0193441    -0.628409   -0.0283342     0.461789     0.457919     0.465259
        301       1  -0.00895721    -0.638796   -0.0283342     0.461001     0.455472     0.465259
        302       1   0.00142971    -0.649183   -0.0283342     0.459755     0.450578     0.462813
        303       1   0.00142971    -0.659569   -0.0283342      0.45897     0.450578     0.462813
        304       1   0.00142971    -0.669956   -0.0283342      0.45844     0.450578     0.462813
        305       1   0.00142971    -0.680343   -0.0283342     0.457996     0.450578     0.462813
        306       1   -0.0193441     -0.69073   -0.0283342     0.457369     0.450578     0.462813
        307       1   -0.0245376    -0.701117   -0.0283342     0.456752     0.450578     0.462813
        308       1   -0.0245376    -0.711504   -0.0283342      0.45597     0.450578     0.462813
        309       1   -0.0193441    -0.721891   -0.0283342      0.45514     0.448131     0.462813
        310       1  -0.00895721    -0.732278   -0.0283342     0.454101     0.448131     0.460366
        311       1   0.00142971    -0.742665   -0.0283342     0.453013     0.445684     0.460366
        312       1   0.00142971    -0.753052   -0.0283342     0.452499     0.445684     0.460366
        313       1  -0.00895721    -0.763439   -0.0283342     0.452236     0.445684     0.460366
        314       1   -0.0245376    -0.773826   -0.0283342     0.451797     0.445684     0.460366
        315       1   -0.0193441    -0.784213   -0.0283342     0.450153     0.445684     0.457919
        316       1  -0.00895721      -0.7946   -0.0283342     0.448422     0.443237     0.457919
        317       1  -0.00895721    -0.804986   -0.0283342     0.447063      0.44079     0.455472
        318       1  -0.00895721    -0.815373   -0.0283342     0.446149      0.44079     0.455472
        319       1   0.00142971     -0.82576   -0.0283342     0.445187     0.438344     0.455472
        320       1   0.00142971    -0.836147   -0.0283342     0.443225     0.435897     0.453025
        321       1  -0.00376375    -0.846534   -0.0283342     0.442196      0.43345     0.450578
        322       1  -0.00895721    -0.856921   -0.0283342     0.440592     0.431003     0.448131
        323       1  -0.00895721    -0.867308   -0.0283342     0.439185     0.431003     0.448131
        324       1  -0.00376375    -0.877695   -0.0283342     0.437493     0.431003     0.445684
        325       1   0.00142971    -0.888082   -0.0283342     0.435727     0.428556     0.443237
        326       1  -0.00895721    -0.898469   -0.0283342      0.43398     0.428556      0.44079
        327       1  -0.00895721    -0.908856   -0.0283342     0.432212     0.426109     0.438344
        328       1   0.00142971    -0.919243   -0.0283342     0.430412     0.423662     0.435897
        329       1  -0.00895721     -0.92963   -0.0283342     0.427731     0.418768     0.438344
        330       1  -0.00895721    -0.940016   -0.0283342     0.425349     0.416321     0.435897
        331       1   0.00142971    -0.950403   -0.0283342     0.419003     0.408981     0.428556
        332       1  -0.00895721     -0.96079   -0.0283342     0.410404     0.399193     0.421215
        333       1   0.00142971    -0.971177   -0.0283342     0.396136     0.384512     0.408981
        334       1  -0.00376375    -0.981564   -0.0283342        0.356     0.342914     0.377171
        335       1   0.00142971    -0.991951   -0.0283342     0.217617     0.193653     0.240145
